daily_sales,date
6.5,2024-04-16
6.7,2024-08-14
6.8,2024-05-16
15,2024-04-22
16.99,2024-06-15
17.98,2024-05-09
18,2024-07-09
19.98,2024-06-20
19.98,2024-08-19
21.98,2024-03-10
23.97,2024-06-08
23.98,2024-05-21
23.98,2024-07-14
24,2024-08-20
25,2024-05-28
25.98,2024-04-09
25.98,2024-07-02
25.98,2024-08-07
27,2024-08-08
29.5,2024-05-22
29.5,2024-06-21
29.97,2024-05-15
29.98,2024-04-28
29.98,2024-07-20
29.99,2024-01-29
30,2024-05-04
32,2024-03-17
32.97,2024-05-27
32.97,2024-07-08
32.97,2024-08-01
32.97,2024-08-25
33.98,2024-06-02
35.96,2024-06-14
35.97,2024-06-26
36,2024-05-10
36,2024-06-09
37.98,2024-04-21
38.97,2024-01-28
38.97,2024-03-22
39.6,2024-07-31
43.96,2024-04-15
44.97,2024-04-03
44.97,2024-05-03
45.98,2024-01-22
46,2024-02-28
49,2024-02-22
49.99,2024-01-23
50.97,2024-07-26
51.98,2024-01-10
52,2024-02-16
52,2024-07-21
53.98,2024-02-21
55,2024-08-26
55.96,2024-03-28
58,2024-08-02
59,2024-06-03
59.6,2024-06-25
59.96,2024-03-16
59.96,2024-04-20
59.98,2024-08-27
63.96,2024-01-04
64.95,2024-05-02
67.96,2024-04-27
68,2024-04-04
68,2024-06-27
69.98,2024-06-10
74.97,2024-02-09
75.96,2024-03-04
78,2024-03-11
79,2024-07-27
79.96,2024-02-03
79.98,2024-02-04
80.97,2024-08-13
82,2024-04-10
84,2024-02-27
89.97,2024-01-24
89.98,2024-08-12
89.99,2024-01-05
89.99,2024-05-01
98.85,2024-08-21
99.9,2024-03-03
99.95,2024-07-18
99.96,2024-06-07
99.98,2024-06-24
99.99,2024-01-20
99.99,2024-03-25
100,2024-03-23
102,2024-03-05
104.97,2024-06-19
105,2024-02-10
105,2024-03-29
107.97,2024-01-16
119.94,2024-04-08
119.97,2024-04-14
125,2024-07-15
129,2024-07-28
129.99,2024-01-11
130,2024-02-15
134.97,2024-05-20
139.96,2024-05-14
139.96,2024-07-07
139.99,2024-05-19
146,2024-06-28
149.94,2024-03-24
149.95,2024-01-06
149.95,2024-02-02
149.95,2024-02-26
149.95,2024-06-13
149.97,2024-04-26
149.97,2024-06-16
149.97,2024-06-23
149.97,2024-08-06
159.8,2024-05-11
159.98,2024-05-13
159.99,2024-04-19
159.99,2024-08-23
164.97,2024-06-01
169,2024-08-16
169.95,2024-07-10
179.97,2024-01-21
179.97,2024-07-01
179.97,2024-07-19
179.98,2024-03-21
179.99,2024-01-26
179.99,2024-04-01
189.99,2024-01-14
190,2024-07-03
196,2024-05-26
196,2024-07-25
199.9,2024-05-17
199.95,2024-07-12
199.96,2024-08-10
199.98,2024-03-31
199.99,2024-02-13
199.99,2024-05-05
199.99,2024-06-12
199.99,2024-07-11
209.97,2024-01-03
209.97,2024-03-18
219.98,2024-04-11
239.94,2024-02-17
239.96,2024-02-08
239.96,2024-02-24
239.96,2024-03-09
239.97,2024-03-27
249.95,2024-02-23
249.95,2024-03-15
249.99,2024-04-24
249.99,2024-04-29
259.96,2024-08-18
259.98,2024-01-30
259.98,2024-02-11
259.98,2024-02-18
259.98,2024-03-30
269.97,2024-02-01
270,2024-08-24
279.98,2024-02-14
279.98,2024-06-18
294,2024-05-08
299,2024-08-22
299.9,2024-08-15
299.98,2024-05-29
299.99,2024-01-25
299.99,2024-02-19
299.99,2024-05-23
299.99,2024-06-04
299.99,2024-07-23
319.96,2024-04-02
339.98,2024-07-30
349,2024-02-29
349.99,2024-04-07
349.99,2024-05-30
349.99,2024-08-03
358,2024-07-17
359.98,2024-01-27
359.98,2024-07-13
379.99,2024-07-24
389.97,2024-03-12
398,2024-07-06
399,2024-07-05
399.9,2024-05-25
399.98,2024-03-02
399.98,2024-05-31
399.99,2024-01-17
399.99,2024-04-17
399.99,2024-06-30
399.99,2024-07-22
449.99,2024-07-16
449.99,2024-08-05
459.98,2024-04-18
459.98,2024-08-11
464.97,2024-02-20
479.96,2024-01-18
499.95,2024-06-06
499.95,2024-07-04
499.98,2024-01-15
499.98,2024-03-19
499.99,2024-01-02
499.99,2024-02-25
499.99,2024-03-20
499.99,2024-05-06
539.94,2024-01-09
549,2024-05-24
599,2024-08-17
599.9,2024-04-25
599.97,2024-01-12
599.98,2024-03-06
599.99,2024-08-09
649.99,2024-06-29
659.97,2024-03-08
689.85,2024-04-23
699.98,2024-01-31
699.98,2024-04-13
699.99,2024-06-17
699.99,2024-06-22
749.99,2024-07-29
799.98,2024-05-07
899.97,2024-03-01
899.97,2024-04-06
899.99,2024-03-14
899.99,2024-06-05
999.98,2024-01-19
999.99,2024-04-05
1199.97,2024-02-06
1199.97,2024-02-12
1199.98,2024-01-08
1199.98,2024-04-30
1199.99,2024-03-07
1199.99,2024-06-11
1299.99,2024-05-12
1499.98,2024-01-13
1499.99,2024-05-18
1599.98,2024-02-07
1599.99,2024-03-13
1895,2024-02-05
1999.98,2024-01-01
2399,2024-08-04
2499.99,2024-01-07
2599.98,2024-03-26
3899.99,2024-04-12
